dataset,backbone,supervision_type,guard_jobid,source_dir,run_id,dataset_name,split,domain,student_name,student_backbone,train_method,method,bin_idx,bin_lo,bin_hi,count,pred_mean,actual_mean,abs_gap
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,1,0.1,0.2,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,2,0.2,0.3,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,3,0.3,0.4,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,4,0.4,0.5,26,0.4830189782839555,0.1918830080705744,0.2911359702133811
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,5,0.5,0.6000000000000001,80,0.5323237240314483,0.1747292605134167,0.3575944635180316
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,6,0.6000000000000001,0.7000000000000001,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,7,0.7000000000000001,0.8,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,8,0.8,0.9,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_night,acdc,val,night,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,guardrail,9,0.9,1.0,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,0,0.0,0.1,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,1,0.1,0.2,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,2,0.2,0.3,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,3,0.3,0.4,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,4,0.4,0.5,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,5,0.5,0.6000000000000001,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,6,0.6000000000000001,0.7000000000000001,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,7,0.7000000000000001,0.8,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,8,0.8,0.9,3,0.8842004537582397,0.2890315647293162,0.5951688890289235
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,msp,9,0.9,1.0,97,0.9381489446482708,0.3816104821318927,0.556538462516378
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,temp_msp,0,0.0,0.1,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,temp_msp,1,0.1,0.2,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,temp_msp,2,0.2,0.3,0,,,
acdc,b1,dense_disagree,9257577,paper_eval_acdc_b1_mit-b1_guard_dense_disagree_j9257577,acdc_b1_skd_dense_disagree_rain,acdc,val,rain,student_skd,/scratch/gautschi/manors/hf_cache/hub/models--nvidia--mit-b1/snapshots/13ddceec4e8bdf401e7cd7acf5aebc526222518c,skd,temp_msp,3,0.3,0.4,0,,,
